mid	name	score	types	is_food	is_dish	is_beverage	is_ingredient
/m/021mn	Cookie	560292.087463	Food	1	0	0	0
/m/01yvs	Coca-Cola	494353.717061	Beverage,Food,Ingredient	1	0	1	1
/m/09759	Rice	363960.858832	Food,Ingredient	1	0	0	1
/m/057z_	Miso	283684.584963	Food,Ingredient	1	0	0	1
/m/06x4c	Sugar	263839.08289	Food,Ingredient	1	0	0	1
/m/05g0_z	Table salt	233547.45706	Food,Ingredient	1	0	0	1
/m/09cpv	Cabernet Sauvignon	223047.433757	Food	1	0	0	0
/m/0f2b9	Champagne	215849.214319	Beverage,Food,Ingredient	1	0	1	1
/m/0f9n3	Ginger	215224.125066	Food,Ingredient	1	0	0	1
/m/03q7vc	Acorn	205957.169925	Food,Ingredient	1	0	0	1
/m/0f2nzn	Guinness	203614.861087	Beverage,Food,Ingredient	1	0	1	1
/m/0f8sw	Cherry	200624.091859	Food,Ingredient	1	0	0	1
/m/09cgp	Chardonnay	190009.874981	Food	1	0	0	0
/m/01c2z6	Pinot Noir	185716.049317	Food	1	0	0	0
/m/0bdcn	Cod	185648.97298	Food,Ingredient	1	0	0	1
/m/09k_b	Lemon	176811.046352	Food,Ingredient	1	0	0	1
/m/01sbt1	Parmigiano-Reggiano	169890.195372	Food,Ingredient	1	0	0	1
/m/0h0xm	Bacon	159997.97728	Food,Ingredient	1	0	0	1
/m/03vtj	Ice	153345.169925	Food,Ingredient	1	0	0	1
/m/04sr0	Merlot	153316.189689	Food	1	0	0	0
/m/09777	Salmon	149173.247928	Food,Ingredient	1	0	0	1
/m/0dj75	Onion	147376.27379	Food,Ingredient	1	0	0	1
/m/0dbrl	Garlic	138486.678088	Food,Ingredient	1	0	0	1
/m/01hcps	Lamb and mutton	126839.299208	Food,Ingredient	1	0	0	1
/m/01yt8c	Basil	126577.099183	Food,Ingredient	1	0	0	1
/m/0qjf5	Diet Coke	118812.0	Beverage,Food	1	0	1	0
/m/01k18d	Oreo	111416.584963	Dish,Food	1	1	0	0
/m/020vl	Chocolate	109316.767625	Food,Ingredient	1	0	0	1
/m/053wn	Maize	108326.138524	Food,Ingredient	1	0	0	1
/m/03q2b	Ham	103485.661778	Food,Ingredient	1	0	0	1
/m/06cd7	Rosemary	100928.964544	Food,Ingredient	1	0	0	1
/m/01fp9	Bean	100733.714246	Food,Ingredient	1	0	0	1
/m/01l566	Kool-Aid	100441.321928	Beverage,Food,Ingredient	1	0	1	1
/m/01jp3	Budweiser	99489.0	Beverage,Food	1	0	1	0
/m/02cc1	DDT	97315.3219281	Ingredient	0	0	0	1
/m/03qmh	Honey	94066.1654566	Food,Ingredient	1	0	0	1
/m/0dxb5	Berry	93981.8726749	Food,Ingredient	1	0	0	1
/m/0gv88	Monosodium glutamate	91871.3219281	Ingredient	0	0	0	1
/m/02vqfm	Coffee	91414.2440665	Beverage,Food,Ingredient	1	0	1	1
/m/01925l	Hypericum perforatum	89878.2288187	Food	1	0	0	0
/m/0k64b	Emu	87442.7813597	Food	1	0	0	0
/m/025r2	Chianti	86653.0	Food	1	0	0	0
/m/07fbm7	Strawberry	84453.0361736	Food,Ingredient	1	0	0	1
/m/0477n	Jell-O	83692.0768156	Food,Ingredient	1	0	0	1
/m/0f0ch	Cinnamon	82980.0902779	Food,Ingredient	1	0	0	1
/m/05ml4	Olive oil	79218.6073303	Food,Ingredient	1	0	0	1
/m/09qck	Banana	78749.2393013	Food,Ingredient	1	0	0	1
/m/07clx	Tea (Beverage type)	78409.6211361	Food,Ingredient	1	0	0	1
/m/0fldg	Mango	78250.1241213	Food,Ingredient	1	0	0	1
/m/0djtd	Coconut	77485.1774779	Food,Ingredient	1	0	0	1
/m/076xc1	High-fructose corn syrup	76571.0	Food,Ingredient	1	0	0	1
/m/01mzvs	Green tea	75669.0991834	Beverage,Food,Ingredient	1	0	1	1
/m/06_0l	Stevia	73849.0402897	Ingredient	0	0	0	1
/m/05mln	Olive	73719.5362472	Food,Ingredient	1	0	0	1
/m/02xwb	Fruit (Ingredient)	73204.8313752	Food,Ingredient	1	0	0	1
/m/0dj6p	Peach	69502.4883089	Food,Ingredient	1	0	0	1
/m/0brjx	Nutella	69381.5849625	Food,Ingredient	1	0	0	1
/m/0fg0m	Peanut	69058.04958	Food,Ingredient	1	0	0	1
/m/0fp5h	Plum	68187.191599	Food,Ingredient	1	0	0	1
/m/0cdn1	Hamburger	67432.1922928	Dish,Food	1	1	0	0
/m/01_r_	Cheddar cheese	66572.169925	Food,Ingredient	1	0	0	1
/m/074y7	Scotch whisky	66151.469133	Beverage,Food,Ingredient	1	0	1	1
/m/0cxn2	Ice cream	64865.9430642	Dish,Food	1	1	0	0
/m/01rq37	Big Mac	64537.0	Food	1	0	0	0
/m/02r5_b	Kale	63343.0768156	Food,Ingredient	1	0	0	1
/m/03gq1	Herb (Ingredient)	61904.6724253	Food,Ingredient	1	0	0	1
/m/01cl1n	Cabernet Franc	61722.1542248	Food	1	0	0	0
/m/0mjqn	Pie	61702.3219281	Dish,Food	1	1	0	0
/m/029x39	Ginseng	61477.6617781	Food,Ingredient	1	0	0	1
/m/0hkxq	Broccoli	61327.8150768	Food,Ingredient	1	0	0	1
/m/03m1ls	Cheerios	60621.1459321	Food	1	0	0	0
/m/05s38	Peppermint	59544.6834521	Food,Ingredient	1	0	0	1
/m/0d7gy	Eucalyptus	59456.8540709	Food,Ingredient	1	0	0	1
/m/02f217	Chipotle	59105.1472049	Food,Ingredient	1	0	0	1
/m/0m4v	Almond	58759.9971126	Food,Ingredient	1	0	0	1
/m/05m__92	Splenda	58714.169925	Food,Ingredient	1	0	0	1
/m/0663v	Pizza	58591.7813597	Dish,Food	1	1	0	0
/m/01g7zj	Mexican American	58307.4265268	Food	1	0	0	0
/m/06qrr	Soft drink	58067.7397806	Beverage,Food,Ingredient	1	0	1	1
/m/0ksgj	Sodium chloride	57521.0502949	Food,Ingredient	1	0	0	1
/m/01781c	Glycerol	57160.0131142	Ingredient	0	0	0	1
/m/09728	Bread (Literature Subject)	56433.4918531	Food	1	0	0	0
/m/014j1m	Apple	56296.5617061	Food,Ingredient	1	0	0	1
/m/09qw8	Bamboo	56189.4870549	Food	1	0	0	0
/m/01645p	Avocado	55818.4870549	Food,Ingredient	1	0	0	1
/m/01bg5t	Coneflower	54197.1675896	Food,Ingredient	1	0	0	1
/m/01_7l	Caffeine	53114.2559895	Ingredient	0	0	0	1
/m/029gy3	Snickers	52661.7813597	Food,Ingredient	1	0	0	1
/m/015dmz	Marlin	51048.2851855	Food,Ingredient	1	0	0	1
/m/09sy4	Tequila	50932.5919898	Beverage,Food,Ingredient	1	0	1	1
/m/04zpv	Milk	50043.82277	Food,Ingredient	1	0	0	1
/m/02y6n	French fries	48646.0	Dish,Food	1	1	0	0
/m/0f7gf	Citric acid	48309.9456382	Food,Ingredient	1	0	0	1
/m/09gtx	Barley	48202.5156998	Food,Ingredient	1	0	0	1
/m/0gjnf	Carp	48187.3663222	Food,Ingredient	1	0	0	1
/m/0bcgdv	Irvingia gabonensis	47788.5849625	Food	1	0	0	0
/m/0c7d8	Azadirachta indica	47777.0768156	Food,Ingredient	1	0	0	1
/m/01k_xm	Dr Pepper	47584.0	Beverage	0	0	1	0
/m/04t8sg	Al dente	46910.5849625	Dish,Food	1	1	0	0
/m/020dp	Cranberry	46818.0358213	Food,Ingredient	1	0	0	1
/m/0g5s7	Pea	46273.1979462	Food,Ingredient	1	0	0	1
/m/09696	Wheat	46224.1920426	Food,Ingredient	1	0	0	1
/m/01jszz	Coconut oil	46214.5849625	Food,Ingredient	1	0	0	1
/m/07cnc	Turmeric	45763.1168313	Food,Ingredient	1	0	0	1
/m/023ls	Cola	44698.9068906	Beverage,Food,Ingredient	1	0	1	1
/m/07j87	Tomato	44303.7310028	Food,Ingredient	1	0	0	1
/m/0htd3	Maidenhair Tree	43683.3409998	Food,Ingredient	1	0	0	1
/m/017dqv	Fennel	43604.3171299	Food,Ingredient	1	0	0	1
/m/0hqkz	Grapefruit	42758.7090838	Food,Ingredient	1	0	0	1
/m/0gyv9	Soybean	42677.9097056	Food,Ingredient	1	0	0	1
/m/01yyk	Cereal	42545.3219281	Food,Ingredient	1	0	0	1
/m/07_rn	Vanilla (Ingredient)	42460.8841705	Food,Ingredient	1	0	0	1
/m/07l9d	Tex-Mex food	42366.5622424	Food	1	0	0	0
/m/05s28	Parsley	42087.7349824	Food,Ingredient	1	0	0	1
/m/010xc	Aspartame	41739.3219281	Ingredient	0	0	0	1
/m/07bgp	Sheep	41649.4941957	Food,Ingredient	1	0	0	1
/m/061_f	Pear	41623.2026161	Food,Ingredient	1	0	0	1
/m/0l6w2	Pita	40691.8073549	Dish,Food	1	1	0	0
/m/04gth	Lavender	40364.8887811	Food,Ingredient	1	0	0	1
/m/07crc	Taco	40246.5849625	Dish,Food	1	1	0	0
/m/01qfcj	Peanut butter	39772.693487	Food,Ingredient	1	0	0	1
/m/0d_94	Saffron	39115.5871842	Food,Ingredient	1	0	0	1
/m/03dg3	Gin	38873.0556214	Beverage,Food,Ingredient	1	0	1	1
/m/05vtc	Potato	38702.1866463	Food,Ingredient	1	0	0	1
/m/0p83l	Jasmine	38496.1065629	Food,Ingredient	1	0	0	1
/m/0ftb8	Sunflower	37752.9068906	Food	1	0	0	0
/m/0jnxw	Stew	37646.5849625	Food	1	0	0	0
/m/082bv	Whisky	37265.5849625	Beverage,Ingredient	0	0	1	1
/m/01599	Beer (Beverage type)	36577.35294	Food,Ingredient	1	0	0	1
/m/09lnn	Nutmeg	36070.0751622	Food,Ingredient	1	0	0	1
/m/01tv9	Cream	35719.538977	Food,Ingredient	1	0	0	1
/m/05v3rd	Fuji	35566.0	Food	1	0	0	0
/m/019jw	Blood	35539.4918531	Ingredient	0	0	0	1
/m/01y4xf	Coriander	35084.1085245	Food,Ingredient	1	0	0	1
/m/09702	Cappuccino	35073.3219281	Beverage,Dish,Food	1	1	1	0
/m/06j8d	Rum	34552.1476819	Beverage,Food,Ingredient	1	0	1	1
/m/06p35	Spice (Literature Subject)	34338.4918531	Food,Ingredient	1	0	0	1
/m/015_77	Walnut	34338.469133	Food,Ingredient	1	0	0	1
/m/033cnk	Egg	34316.4302933	Food,Ingredient	1	0	0	1
/m/05zsy	Pumpkin	34271.1922928	Food,Ingredient	1	0	0	1
/m/07s28	Tofu	33189.9512847	Food,Ingredient	1	0	0	1
/m/07_0xk	Mustard (Ingredient)	32967.183015	Food,Ingredient	1	0	0	1
/m/09psh	Flax	32918.3597496	Food,Ingredient	1	0	0	1
/m/01nkt	Cheese (Ingredient)	32876.5846102	Food,Ingredient	1	0	0	1
/m/01482f	Brie	32814.5849625	Food	1	0	0	0
/m/014dn0	Sodium bicarbonate	32800.219505	Food,Ingredient	1	0	0	1
/m/0ctfk	Espresso	32465.5849625	Beverage,Dish,Food	1	1	1	0
/m/0fr19	Dandelion	32329.5521888	Food,Ingredient	1	0	0	1
/m/02tvdz	Xanthan gum	32188.9068906	Food,Ingredient	1	0	0	1
/m/01k6v	Bacardi	32140.169925	Beverage	0	0	1	0
/m/09gms	Ramen	32015.4594316	Dish,Food	1	1	0	0
/m/07030	Sushi	31784.6438562	Dish,Food	1	1	0	0
/m/0139zp	Black pepper	31733.1309111	Food,Ingredient	1	0	0	1
/m/0fj52s	Carrot	31667.5251901	Food,Ingredient	1	0	0	1
/m/0cl2v	Oat	31652.9772799	Food,Ingredient	1	0	0	1
/m/0fszt	Cake	31372.0	Food	1	0	0	0
/m/081qc	Wine (Ingredient)	31369.8400885	Beverage,Dish,Food,Ingredient	1	1	1	1
/m/0q593	Dietary supplement	30639.169925	Food	1	0	0	0
/m/0ckmp	Chicken soup	30621.169925	Dish,Food	1	1	0	0
/m/01mt0b	Lime	30617.6003776	Food,Ingredient	1	0	0	1
/m/0cj45	Tuna	30584.1464891	Food,Ingredient	1	0	0	1
/m/0svwd	Twinkie	30527.851749	Food,Ingredient	1	0	0	1
/m/01w8pq	Martini	30486.5849625	Beverage,Dish	0	1	1	0
/m/04bcff	Goji	30383.9068906	Food,Ingredient	1	0	0	1
/m/0l4_r	Sesame	30183.2045711	Food,Ingredient	1	0	0	1
/m/0gl8r	Red Bull	29844.4304526	Food,Ingredient	1	0	0	1
/m/0dm32	Sweet potato	29778.2691084	Food,Ingredient	1	0	0	1
/m/0lhmp	Cognac	29615.0927571	Beverage,Food,Ingredient	1	0	1	1
/m/0jbr7	Clove	29483.2175256	Food,Ingredient	1	0	0	1
/m/03fqll	Sprite	28926.3219281	Beverage,Food	1	0	1	0
/m/0dwgb	Orange juice	28645.2346678	Beverage,Food,Ingredient	1	0	1	1
/m/01c6xf	Drinking water	28518.0	Food	1	0	0	0
/m/0f07x	Quinoa	28365.0768156	Food,Ingredient	1	0	0	1
/m/02729	Dill	28346.1212097	Food,Ingredient	1	0	0	1
/m/0jtt9	Chili pepper	28227.8841705	Food,Ingredient	1	0	0	1
/m/01_12b	Granny Smith	27788.6510517	Food,Ingredient	1	0	0	1
/m/0jpy5	Calendula	27522.129283	Ingredient	0	0	0	1
/m/06nwz	Seafood	27418.9592775	Food	1	0	0	0
/m/04hkqs	Bloody Mary	27406.169925	Beverage,Dish	0	1	1	0
/m/0296dr	Quaker Oats Company	26975.7142455	Food	1	0	0	0
/m/06b81	Quail	26960.169925	Food	1	0	0	0
/m/0m09	Ale	26951.2479275	Food,Ingredient	1	0	0	1
/m/0c59y	Bourbon whiskey	26736.2797557	Beverage,Food,Ingredient	1	0	1	1
/m/01bp4w	Lemongrass	26669.1289308	Food,Ingredient	1	0	0	1
/m/016sb3	Margarita	26600.5849625	Beverage,Dish	0	1	1	0
/m/06z3v	Stout	26239.0416592	Food,Ingredient	1	0	0	1
/m/014_z9	Apple pie	26130.5849625	Dish,Food	1	1	0	0
/m/0f4s2w	Vegetable (Ingredient)	25687.4304526	Food,Ingredient	1	0	0	1
/m/0155br	Sherry	25523.169925	Food,Ingredient	1	0	0	1
/m/02r6fj	Serenoa	25507.4956052	Ingredient	0	0	0	1
/m/05s3ms	Olde English 800	24342.0	Beverage	0	0	1	0
/m/016t5h	Juniper	24279.0545725	Ingredient	0	0	0	1
/m/08127	Vodka	24182.6896841	Beverage,Food,Ingredient	1	0	1	1
/m/047mr6	Prosecco	24128.5849625	Beverage,Food,Ingredient	1	0	1	1
/m/0fz0z	Honey bee	24099.2440665	Ingredient	0	0	0	1
/m/027pcv	Zucchini	24036.9068906	Food,Ingredient	1	0	0	1
/m/05kw_	Oregano	23998.1472049	Food,Ingredient	1	0	0	1
/m/015x4r	Cucumber	23802.5865906	Food,Ingredient	1	0	0	1
/m/0cyhj_	Orange	23784.6819247	Food,Ingredient	1	0	0	1
/m/02f1qx	Jalapeño	23392.9772799	Food,Ingredient	1	0	0	1
/m/055w7	Mozzarella	23359.7548875	Food,Ingredient	1	0	0	1
/m/0cj6f	Seaweed	23332.8841705	Food,Ingredient	1	0	0	1
/m/01z1kdw	Juice	23296.0768156	Beverage,Food,Ingredient	1	0	1	1
/m/0frq6	Pork	23133.7772553	Food,Ingredient	1	0	0	1
/m/027_l3	Common sage	22884.4685067	Food,Ingredient	1	0	0	1
/m/01wmzc	Girl Scout Cookies	22619.169925	Dish	0	1	0	0
/m/04747g	Miller Lite	22602.5849625	Beverage	0	0	1	0
/m/01_9v	Caesar salad	22549.2854022	Dish,Food	1	1	0	0
/m/0f25w9	Chicken meat	22546.6293566	Food,Ingredient	1	0	0	1
/m/0388q	Grape	22404.1316742	Food,Ingredient	1	0	0	1
/m/011xyw	Peanut butter and jelly sandwich	22400.5849625	Dish,Food	1	1	0	0
/m/01hm70	Sea salt	22273.5849625	Ingredient	0	0	0	1
/m/09gys	Squid	22073.024602	Food,Ingredient	1	0	0	1
/m/01nckt	Smirnoff	22049.0	Beverage	0	0	1	0
/m/0fbw6	Cabbage	22031.3622178	Food,Ingredient	1	0	0	1
/m/0f54r	Stingray	21955.2188517	Food,Ingredient	1	0	0	1
/m/01k_hc	Liquorice	21781.1526735	Food,Ingredient	1	0	0	1
/m/0971v	Beef	21729.0469215	Food,Ingredient	1	0	0	1
/m/04r6fv	Hershey's Kisses	21680.5849625	Food	1	0	0	0
/m/0fnfy	Apricot	21657.558615	Food,Ingredient	1	0	0	1
/m/030mv8	Chia	21652.7245139	Food,Ingredient	1	0	0	1
/m/0c1xzr	Zest	21420.169925	Food,Ingredient	1	0	0	1
/m/0cjs7	Asparagus (Ingredient)	21164.7265209	Food,Ingredient	1	0	0	1
/m/03x2vh	Wagyu	21140.8073549	Dish,Food	1	1	0	0
